rama_ciencias,codigo_carrera,carrera,entidad,Matricula_Total,Matricula_Mujeres,Matricula_Hombres,Diferencia_Genero,Curso_Academico,Ano_Inicio_Curso
Ciencias Agropecuarias,41500.0,AGRONOMÍA,CUJAE,0.0,0.0,0.0,0.0,2015-2016,2015
Ciencias Agropecuarias,41500.0,AGRONOMÍA,CUJAE,0.0,0.0,0.0,0.0,2016-2017,2016
Ciencias Agropecuarias,41500.0,AGRONOMÍA,CUJAE,0.0,0.0,0.0,0.0,2017-2018,2017
Ciencias Agropecuarias,41500.0,AGRONOMÍA,CUJAE,0.0,0.0,0.0,0.0,2019-2020,2019
Ciencias Agropecuarias,41500.0,AGRONOMÍA,CUJAE,0.0,0.0,0.0,0.0,2020-2021,2020
Ciencias Agropecuarias,41500.0,AGRONOMÍA,CUJAE,0.0,0.0,0.0,0.0,2021-2022,2021
Ciencias Agropecuarias,41500.0,AGRONOMÍA,CUJAE,0.0,0.0,0.0,0.0,2022-2023,2022
Ciencias Agropecuarias,41500.0,AGRONOMÍA,CUJAE,0.0,0.0,0.0,0.0,2023-2024,2023
Ciencias Agropecuarias,41500.0,AGRONOMÍA,CUJAE,0.0,0.0,0.0,0.0,2024-2025,2024
Ciencias Técnicas,11300.0,ARQUITECTURA Y URBANISMO,CUJAE,578.0,292.0,286.0,6.0,2015-2016,2015
Ciencias Técnicas,11300.0,ARQUITECTURA Y URBANISMO,CUJAE,569.0,324.0,245.0,79.0,2016-2017,2016
Ciencias Técnicas,11300.0,ARQUITECTURA Y URBANISMO,CUJAE,571.0,340.0,231.0,109.0,2017-2018,2017
Ciencias Técnicas,11300.0,ARQUITECTURA Y URBANISMO,CUJAE,549.0,368.0,181.0,187.0,2019-2020,2019
Ciencias Técnicas,11300.0,ARQUITECTURA Y URBANISMO,CUJAE,589.0,410.0,179.0,231.0,2020-2021,2020
Ciencias Técnicas,11300.0,ARQUITECTURA Y URBANISMO,CUJAE,562.0,390.0,172.0,218.0,2021-2022,2021
Ciencias Técnicas,11300.0,ARQUITECTURA Y URBANISMO,CUJAE,510.0,373.0,137.0,236.0,2022-2023,2022
